author_name,author_id,gender,affiliation,seniority,nb_publi,pub_rate,first_author_por,avg_coauthor
Takeshi Kurashima,1055,male,,14,17,1.21,65,4.0
Katsumi Tanaka,1056,male,,42,418,9.95,9,3.34
Weizheng Gao,1057,,,13,6,0.46,50,3.33
Hyun Chul Lee,1058,,,19,17,0.89,41,3.24
Yingbo Miao,1059,,,14,3,0.21,33,4.0
Tamas Sarlos,1060,male,,16,32,2.0,6,4.28
Andras A. Benczur,1061,,,42,125,2.98,34,3.79
Karoly Csalogany,1062,,,14,12,0.86,0,4.25
Amit P. Sheth,1063,male,Wright State University Dayton Kno.e.sis Center,35,460,13.14,18,4.28
Helen Ashman,1064,female,University of South Australia,25,86,3.44,28,3.43
Balachander Krishnamurthy,1065,,AT&T Inc,29,110,3.79,35,3.45
Craig E. Wills,1066,male,,33,58,1.76,40,2.74
Janet L. Wiener,1067,female,Stanford University USA,26,50,1.92,12,5.16
Marcos Kawazoe Aguilera,1068,male,VMware Palo Alto CA USA,23,90,3.91,74,3.7
Amin Vahdat,1069,male,University of California San Diego USA,26,200,7.69,7,5.39
Marta Patino-Martinez,1070,female,Technical University of Madrid Computer Science School,23,88,3.83,14,4.39
Ricardo Jimenez-Peris,1071,male,,23,100,4.35,37,4.52
Ziv Bar-Yossef,1072,male,,22,45,2.05,91,3.04
Maxim Gurevich,1073,male,,16,20,1.25,15,3.2
Rosie Jones,1074,female,,20,51,2.55,27,3.31
Benjamin Rey,1075,male,,13,6,0.46,17,3.83
Omid Madani,1076,male,,23,44,1.91,56,3.41
Yutaka Matsuo,1077,male,,21,162,7.71,14,3.78
Masahiro Hamasaki,1078,male,,19,39,2.05,23,5.03
Takuichi Nishimura,1079,,,23,71,3.09,24,5.0
Hideaki Takeda,1080,male,National Institute of Informatics (NII) Tokyo Japan,30,167,5.57,7,4.19
Mitsuru Ishizuka,1081,male,,38,308,8.11,6,3.23
Meenakshi Nagarajan,1082,female,Thomas J. Watson Research Center Yorktown Heights USA,13,28,2.15,39,6.68
Li Ding,1083,,Rensselaer Polytechnic Institute Troy NY USA,16,55,3.44,33,7.15
Pranam Kolari,1084,,University of Maryland USA,14,23,1.64,30,5.61
Anupam Joshi,1085,male,University of Maryland USA,26,265,10.19,6,4.31
Tim Finin,1086,male,University of Maryland USA,42,307,7.31,12,4.79
Xian Wu,1087,,,15,93,6.2,37,4.75
Lei Zhang,1088,,IBM China Research Lab Beijing,18,29,1.61,17,6.1
Yong Yu,1089,male,Shanghai Jiao Tong University Department of Computer Science Apex Data and Knowledge Management Lab China,18,343,19.06,0,5.0
Jalal Mahmud,1090,male,Thomas J. Watson Research Center Yorktown Heights USA,14,93,6.64,39,4.3
I. V. Ramakrishnan,1091,,Stony Brook University USA,36,194,5.39,8,3.76
Jian-Tao Sun,1092,,,15,55,3.67,11,4.71
Xuanhui Wang,1093,,,16,56,3.5,30,4.43
Dou Shen,1094,,Baidu,15,57,3.8,39,4.51
Hua-Jun Zeng,1095,,,17,40,2.35,7,5.42
Zheng Chen,1096,,Microsoft Research Asia Beijing China,18,174,9.67,5,5.57
Reiner Kraft,1097,male,Yahoo!,19,9,0.47,44,3.56
Chi-Chao Chang,1098,,,23,24,1.04,28,3.5
Farzin Maghoul,1099,male,,19,10,0.53,0,3.9
Harith Alani,1100,,,19,125,6.58,19,4.26
Paolo Bouquet,1101,male,,24,90,3.75,40,4.09
Markus Jakobsson,1102,male,,25,149,5.96,49,2.93
Jacob Ratkiewicz,1103,male,,13,14,1.08,43,8.93
Sid Stamm,1104,male,,15,14,0.93,43,2.29
Qiaozhu Mei,1105,,University of Michigan Ann Arbor USA,17,136,8.0,13,4.73
Chao Liu,1106,,Microsoft Research,16,23,1.44,52,3.61
Hang Su,1107,,,20,188,9.4,41,4.63
ChengXiang Zhai,1108,,University of Illinois USA,29,345,11.9,9,3.64
Qiankun Zhao,1109,,,15,26,1.73,73,3.77
Steven C. H. Hoi,1110,male,Singapore Management University School of Information Systems,16,238,14.88,18,4.13
Tie-Yan Liu,1111,,Microsoft Research,18,257,14.28,8,5.05
Sourav S. Bhowmick,1112,male,Nanyang Technological University Singapore,21,234,11.14,24,3.53
Michael R. Lyu,1113,male,Chinese University of Hong Kong Department of Computer Science and Engineering,31,483,15.58,5,3.64
Wei-Ying Ma,1114,,Microsoft Research,24,323,13.46,6,4.75
Utku Irmak,1115,male,,14,9,0.64,78,3.11
Torsten Suel,1116,male,New York University Tandon School of Engineering New York City USA,27,106,3.93,11,3.19
Anupriya Ankolekar,1117,,Hewlett Packard Enterprise Labs Palo Alto CA USA,18,29,1.61,55,4.34
Katia P. Sycara,1118,female,Carnegie Mellon University Pittsburgh USA,34,422,12.41,12,3.69
Robert E. Kraut,1119,male,Carnegie Mellon University Human-Computer Interaction Institute Pittsburgh PA USA,40,178,4.45,16,3.57
Markus Krotzsch,1120,male,TU Dresden Germany,15,125,8.33,38,3.36
Denny Vrandecic,1121,male,Google San Francisco CA USA,15,79,5.27,25,3.76
Rudi Studer,1122,male,Karlsruhe Institute of Technology Germany,42,191,4.55,17,4.7
Giovanni Pacifici,1123,male,,31,46,1.48,13,4.8
Mike Spreitzer,1124,male,,29,42,1.45,21,4.62
Malgorzata Steinder,1125,,IBM,23,58,2.52,22,4.4
Maxim Sviridenko,1126,male,IBM Research,21,161,7.67,10,3.31
Jingyu Zhou,1127,,,17,43,2.53,26,4.42
Tao Yang,1128,,University of California at Santa Barbara USA,29,84,2.9,15,3.33
Rong Jin,1129,,Michigan State University East Lansing USA,20,360,18.0,19,3.87
Qiang Yang,1130,,Hong Kong University of Science and Technology Department of Computer Science Kowloon Hong Kong,30,472,15.73,14,4.28
John K. Debenham,1131,male,University of Technology Sydney Australia,47,185,3.94,71,1.9
Ingemar J. Cox,1132,male,University College London UK,36,158,4.39,30,3.33
Harry Halpin,1133,male,INRIA Paris France,15,78,5.2,71,2.71
Henry S. Thompson,1134,male,,42,34,0.81,50,2.68
Matthew Richardson,1135,male,,23,47,2.04,32,4.32
Eric Brill,1136,male,,29,61,2.1,48,2.51
Soumen Chakrabarti,1137,male,IIT Bombay,26,126,4.85,44,3.44
Kriti Puniyani,1138,,,13,10,0.77,60,3.2
Junghoo Cho,1139,,,21,68,3.24,26,3.31
Collin Jackson,1140,male,,14,30,2.14,27,3.9
Andrew Bortz,1141,male,,16,6,0.38,17,3.83
Dan Boneh,1142,male,Stanford University USA,26,326,12.54,60,3.39
John C. Mitchell,1143,male,Stanford University Department of Computer Science,37,236,6.38,20,3.24
Rohit Khare,1144,,University of California Irvine USA,22,30,1.36,87,2.07
Frank van Harmelen,1145,male,VU University Amsterdam Netherlands,35,235,6.71,17,4.35
Nigel Shadbolt,1146,male,University of Southampton UK,35,287,8.2,17,4.04
Tim Berners-Lee,1147,male,Massachusetts Institiute of Technology Cambridge MA USA,31,63,2.03,40,4.29
James A. Hendler,1148,male,Rensselaer Polytechnic Institute Troy NY USA,39,256,6.56,28,3.94
Paolo Ferragina,1149,male,University of Pisa Italy,27,149,5.52,65,2.95
S. Muthukrishnan,1150,,Rutgers University Department of Computer Science,35,347,9.91,16,3.46
Bhaskaran Raman,1151,,,21,77,3.67,17,4.26
Bowei Du,1152,,,17,9,0.53,33,4.67
Eric A. Brewer,1153,male,University of California Berkeley USA,28,139,4.96,22,4.64
Kentaro Toyama,1154,male,University of Michigan School of Information,26,104,4.0,23,3.46
Tapan S. Parikh,1155,male,University of California Berkeley USA,16,57,3.56,23,4.09
Edward D. Lazowska,1156,male,University of Washington Seattle USA,45,103,2.29,27,3.07
Prasad Pingali,1157,male,,14,25,1.79,36,3.6
Jagadeesh Jagarlamudi,1158,,,13,22,1.69,68,2.82
Vasudeva Varma,1159,,,17,203,11.94,4,3.47
Marcus Fontoura,1160,male,,20,56,2.8,38,4.48
Eugene J. Shekita,1161,male,,33,51,1.55,10,5.24
Zaiqing Nie,1162,,Microsoft Research,18,46,2.56,28,5.2
Ji-Rong Wen,1163,male,Microsoft Research China,19,202,10.63,7,4.79
Lee Wang,1164,male,,23,15,0.65,33,6.53
Ying Li,1165,,,27,739,27.37,35,4.33
Martin Halvey,1166,male,University of Glasgow UK,14,84,6.0,36,4.36
Mark T. Keane,1167,male,University College Dublin Ireland,32,82,2.56,11,2.73
Barry Smyth,1168,male,University College Dublin Insight Centre for Data Analytics Ireland,27,338,12.52,22,3.08
Ganesan Velayathan,1169,,,14,6,0.43,100,2.0
Seiji Yamada,1170,male,,32,169,5.28,15,2.69
Melanie Kellar,1171,female,,16,26,1.62,54,4.27
Tom Hope,1172,male,,13,24,1.85,57,4.79
Marta Gatius,1173,female,,23,14,0.61,86,2.14
Meritxell Gonzalez,1174,,,15,21,1.4,33,2.86
Mor Naaman,1175,male,,16,108,6.75,17,3.92
Tamir Tassa,1176,male,,22,67,3.05,31,2.37
Marc Davis,1177,male,,27,36,1.33,42,3.69
Lora Aroyo,1178,female,VU University Amsterdam Computer Science Department Netherlands,21,169,8.05,22,5.28
Omar Alonso,1179,male,Microsoft,23,113,4.91,63,3.02
Andreas Harth,1180,male,Karlsruhe Institute of Technology Institute AIFB,15,112,7.47,24,3.74
Sebastian Ryszard Kruk,1181,male,,15,31,2.07,57,3.29
Stefan Decker,1182,male,RWTH Aachen University,27,254,9.41,11,4.55
Philipp Cimiano,1183,male,Bielefeld University,16,206,12.88,20,4.17
Peter Haase,1184,male,metaphacts GmbH Walldorf Germany,18,116,6.44,26,5.26
Yimin Wang,1185,,,15,60,4.0,35,4.45
Erik Wilde,1186,male,,23,115,5.0,54,2.47
Asuncion Gomez-Perez,1187,,Universidad Politécnica de Madrid,26,206,7.92,15,3.79
Yoshiki Mikami,1188,male,,17,20,1.18,5,3.3
Brian Kelly,1189,male,,25,32,1.28,59,4.31
Marina Buzzi,1190,female,National Research Council Italy,19,70,3.68,14,4.16
Barbara Leporini,1191,female,,17,75,4.41,28,3.33
Carlos Castillo,1192,male,Universitat Pompeu Fabra Barcelona Spain,18,165,9.17,17,3.94
Hila Becker,1193,female,,13,13,1.0,77,3.62
Adam Jatowt,1194,male,Kyoto University,16,154,9.62,28,3.88
Yukiko Kawai,1195,female,,15,84,5.6,8,4.42
Satoshi Nakamura,1196,male,,14,63,4.5,22,3.6
Yutaka Kidawara,1197,male,,28,71,2.54,18,4.37
Toufeeq Hussain,1198,,,13,2,0.15,50,2.5
Huajing Li,1199,,,13,16,1.23,62,5.0
Isaac G. Councill,1200,male,,17,28,1.65,18,4.79
Wang-Chien Lee,1201,,Pennsylvania State University University Park USA,25,305,12.2,7,3.81
Daniel Schwabe,1202,male,Pontifical Catholic University of Rio de Janeiro Brazil,41,144,3.51,19,3.27
Jie Liu,1203,,,28,577,20.61,31,4.54
Liang Feng,1204,,,17,79,4.65,28,4.96
Martin Nussbaumer,1205,male,,16,39,2.44,13,3.54
Patrick Freudenstein,1206,male,,13,15,1.15,53,4.2
Martin Gaedke,1207,male,Chemnitz University of Technology Germany,22,166,7.55,17,3.32
Johannes Meinecke,1208,male,,15,23,1.53,39,3.0
Frederic Majer,1209,male,,13,13,1.0,31,4.54
Geert-Jan Houben,1210,male,Delft University of Technology Netherlands,32,235,7.34,10,4.21
Robert Baumgartner,1211,male,Vienna University of Technology Austria,20,46,2.3,48,3.5
Alessandro Bozzon,1212,male,,13,136,10.46,39,4.8
Piero Fraternali,1213,male,Polytechnic University of Milan Italy,30,189,6.3,17,4.61
Qiang Ma,1214,,Kyoto University Japan,20,71,3.55,23,3.06
Xiaotie Deng,1215,,City University of Hong Kong,30,307,10.23,38,3.29
Liu Wenyin,1216,,City University of Hong Kong,24,219,9.12,21,3.96
Xiang Peng,1217,,,13,33,2.54,21,4.61
Irwin King,1218,male,Chinese University of Hong Kong,31,306,9.87,8,3.79
Keiji Yanai,1219,male,,21,129,6.14,28,2.38
Gilad Mishne,1220,male,,16,41,2.56,51,3.29
Maarten de Rijke,1221,male,University of Amsterdam Netherlands,28,587,20.96,4,3.76
Ricardo A. Baeza-Yates,1222,male,NTENT,32,432,13.5,53,2.99
Michael Maslov,1223,male,,13,2,0.15,50,3.5
Ilya Segalovich,1224,male,,16,5,0.31,20,4.8
Pavel Braslavski,1225,male,Ural Federal University Yekaterinburg Russia,15,32,2.13,44,4.25
Bernhard Krupl,1226,male,,14,13,0.93,31,4.46
Marcus Herzog,1227,male,,20,24,1.2,25,4.0
Gilles Venturini,1228,male,,27,103,3.81,7,4.51
Christiane Guinot,1229,female,,18,37,2.06,3,3.86
Klaus Berberich,1230,male,Max Planck Institute for Informatics Saarbrücken Germany,15,86,5.73,21,3.42
Srikanta J. Bedathur,1231,male,IBM India Research Lab New Delhi India,18,65,3.61,15,3.74
Michalis Vazirgiannis,1232,male,,26,208,8.0,13,3.41
Gerhard Weikum,1233,male,Max Planck Institute for Informatics Saarbrücken Germany,36,557,15.47,14,3.72
Luca Becchetti,1234,male,Sapienza University of Rome Italy,22,81,3.68,80,4.47
Xiaodong Shi,1235,,,13,59,4.54,12,4.03
Christopher C. Yang,1236,male,,25,213,8.52,47,2.92
Blaz Fortuna,1237,,Jozef Stefan Institute,14,53,3.79,26,4.79
Marko Grobelnik,1238,male,,28,113,4.04,11,5.26
Dunja Mladenic,1239,female,Jozef Stefan Institute Ljubljana Slovenia,27,165,6.11,16,3.56
Ah-Hwee Tan,1240,,Nanyang Technological University Singapore,24,175,7.29,11,3.3
Barbara Poblete,1241,female,University of Chile,16,51,3.19,20,3.24
Man-Kwan Shan,1242,,,30,71,2.37,17,2.93
Suh-Yin Lee,1243,,,30,158,5.27,8,3.2
Xiaojun Wan,1244,,Peking University Institute of Computer Science and Technology MOE Key Laboratory of Computational Linguistics Beijing China,15,169,11.27,39,2.78
Jianwu Yang,1245,,,17,52,3.06,12,3.23
Wolfgang Gatterbauer,1246,male,Northeastern University Boston MA USA,14,60,4.29,47,3.08
Qing Li,1247,,,31,547,17.65,24,4.23
Adele E. Howe,1248,female,Colorado State University USA,33,94,2.85,23,3.07
Alessandro Campi,1249,male,,17,55,3.24,22,5.0
Katsuko T. Nakahira,1250,female,,13,16,1.23,44,4.31
Tetsuya Hoshino,1251,male,,13,7,0.54,71,3.43
Hai Jin,1252,,Huazhong University of Science and Technology School of Computer Science and Technology Services Computing Technology and System Lab Cluster and Grid Computing Lab Wuhan China,22,1053,47.86,13,4.54
Hanhua Chen,1253,,,16,68,4.25,41,4.37
Marcio L. A. Vidal,1254,male,,13,6,0.46,83,4.0
Altigran Soares da Silva,1255,male,Universidade Federal do Amazonas Brazil,23,130,5.65,8,4.45
Joao M. B. Cavalcanti,1256,,,24,21,0.88,19,4.29
Peter Bailey,1257,male,,23,44,1.91,32,4.16
Uri Schonfeld,1258,male,,13,6,0.46,33,2.83
Idit Keidar,1259,female,Technion - Israel Institute of Technology Haifa Israel,24,191,7.96,28,3.13
Zhenjiang Lin,1260,,,16,8,0.5,62,3.12
Kentaro Torisawa,1261,male,,23,93,4.04,10,4.72
Pabitra Mitra,1262,,Indian Statistical Institute India,20,153,7.65,7,3.52
Jaewoo Kang,1263,male,North Carolina State University Raleigh USA,22,79,3.59,8,5.3
Christos Doulkeridis,1264,male,,17,84,4.94,28,4.35
Kjetil Norvag,1265,male,Norwegian University of Science and Technology Norway,22,161,7.32,25,2.84
John A. Keane,1266,male,University of Manchester UK,29,157,5.41,15,3.99
Krisztian Balog,1267,male,University of Stavanger Norway,14,143,10.21,39,3.26
Olfa Nasraoui,1268,,,27,141,5.22,25,3.01
Adam Marcus,1269,male,Unlimited Labs San Francisco CA USA,13,27,2.08,44,4.41
Antonio Badia,1270,male,,26,62,2.38,79,1.74
Xin-Jing Wang,1271,,Microsoft Research,15,43,2.87,53,4.23
Lei Zhang,1272,,Microsoft Research Asia Beijing China,18,155,8.61,6,4.5
Feng Jing,1273,,,19,42,2.21,55,4.24
Oscar Corcho,1274,male,Technical University of Madrid Spain,19,231,12.16,16,5.17
Francois Bry,1275,,Ludwig Maximilian University of Munich Germany,38,201,5.29,61,3.04
Tim Furche,1276,male,Oxford University Department of Computer Science,17,80,4.71,34,4.71
Benedikt Linse,1277,male,Ludwig Maximilian University of Munich Germany,13,17,1.31,6,4.59
Armin Haller,1278,male,,14,58,4.14,24,4.72
Eyal Oren,1279,male,,15,34,2.27,50,4.53
Paavo Kotinurmi,1280,male,Aalto University Finland,15,14,0.93,21,3.5
Sudhir Agarwal,1281,male,Stanford University CA USA,16,41,2.56,61,3.05
Tomoyuki Nanno,1282,male,,15,3,0.2,100,2.67
Manabu Okumura,1283,male,,29,148,5.1,7,3.35
Gang Wu,1284,,,31,237,7.65,41,3.92
Juan-Zi Li,1285,male,Tsinghua University Beijing China,20,201,10.05,6,4.55
Jeff Z. Pan,1286,male,University of Aberdeen Department of Computing Science,18,246,13.67,20,4.09
John G. Breslin,1287,male,National University of Ireland Galway Ireland,16,152,9.5,12,3.43
Angela Bonifati,1288,female,University of Lyon France,22,104,4.73,68,3.81
Ioana Manolescu,1289,female,INRIA France,20,164,8.2,18,4.28
Andrea Pugliese,1290,female,University of Calabria Department of Electronics Computer Science and Systems Rende Italy,19,76,4.0,8,4.42
Mirella Moura Moro,1291,female,Federal University of Minas Gerais Belo Horizonte Brazil,19,121,6.37,27,3.43
Zografoula Vagena,1292,,,19,34,1.79,26,4.15
Vassilis J. Tsotras,1293,,University of California Riverside USA,29,191,6.59,6,3.71
Hua-Gang Li,1294,,,19,17,0.89,47,4.76
Divyakant Agrawal,1295,,University of California Santa Barbara USA,33,394,11.94,20,4.1
Amr El Abbadi,1296,male,University of California Santa Barbara USA,35,356,10.17,4,3.58
Carey L. Williamson,1297,,University of Calgary Canada,35,181,5.17,13,2.81
Mary Ellen Zurko,1298,female,,29,36,1.24,47,3.11
Prashant J. Shenoy,1299,male,University of Massachusetts Amherst USA,24,275,11.46,5,4.15
Dingyi Han,1300,,,14,25,1.79,12,5.24
Jae-wook Ahn,1301,,,14,33,2.36,55,4.79
Peter Brusilovsky,1302,male,University of Pittsburgh USA,27,343,12.7,36,3.25
Jonathan Grady,1303,male,,13,8,0.62,0,5.0
Daqing He,1304,male,University of Pittsburgh USA,19,145,7.63,19,3.68
Ryen W. White,1305,male,University of Glasgow UK Scotland,18,206,11.44,38,3.5
Steven M. Drucker,1306,male,,32,68,2.12,10,4.81
Yevgen Borodin,1307,male,,13,47,3.62,34,4.26
Giuseppe Di Fabbrizio,1308,male,Amazon,27,54,2.0,30,4.61
David C. Gibbon,1309,male,,24,29,1.21,21,4.52
Rittwik Jana,1310,,,23,91,3.96,12,5.53
Serban Jora,1311,male,,17,8,0.47,12,8.5
Bernard Renger,1312,male,,14,9,0.64,11,6.22
Bin Wei,1313,,,24,69,2.88,22,4.19
Anthony Tomasic,1314,male,,31,65,2.1,31,4.2
Isaac Simmons,1315,male,,13,5,0.38,0,4.0
John Zimmerman,1316,male,,19,106,5.58,16,4.39
Deepayan Chakrabarti,1317,,Carnegie Mellon University Pittsburgh USA,18,56,3.11,50,3.46
Kunal Punera,1318,,,17,32,1.88,25,3.22
Paul Bohunsky,1319,male,,13,3,0.23,33,3.0
Yunxiao Ma,1320,,,12,3,0.25,0,5.0
Shuming Shi,1321,,Microsoft Research,17,67,3.94,15,5.13
Giuseppe Carenini,1322,male,,29,115,3.97,23,3.54
Raymond T. Ng,1323,male,University of British Columbia Vancouver Canada,29,167,5.76,20,3.63
Marius Pasca,1324,male,,22,82,3.73,55,2.57
Roberto J. Bayardo,1325,male,IBM Almaden Research Center San Jose USA,25,40,1.6,68,3.77
Yiming Ma,1326,,,33,47,1.42,34,4.19
Gurmeet Singh Manku,1327,male,Stanford University USA,24,25,1.04,64,2.88
Anish Das Sarma,1328,,Troo.ly,15,62,4.13,44,4.35
Jian Hu,1329,,,24,108,4.5,40,4.23
Hua Li,1330,,Microsoft Research Asia Beijing China,15,14,0.93,28,5.79
Cheng Niu,1331,,,17,26,1.53,31,4.46
Eytan Adar,1332,male,University of Michigan Ann Arbor USA,24,86,3.58,33,3.69
Daniel S. Weld,1333,male,University of Washington Seattle Washington USA,34,197,5.79,16,3.24
Steven D. Gribble,1334,male,University of Washington Seattle Washington USA,24,69,2.88,14,4.48
Lars Backstrom,1335,male,,15,31,2.07,61,3.39
Jon M. Kleinberg,1336,male,Cornell University Ithaca USA,27,302,11.19,33,3.22
Xiaodan Song,1337,,,17,28,1.65,68,4.64
Yun Chi,1338,,,16,72,4.5,31,4.46
Koji Hino,1339,male,,19,13,0.68,8,5.08
Belle L. Tseng,1340,female,,23,91,3.96,12,4.81
Shashank Pandit,1341,,,15,6,0.4,33,3.67
Duen Horng Chau,1342,,,13,122,9.38,12,5.44
Samuel Wang,1343,male,,12,2,0.17,0,4.0
Christos Faloutsos,1344,male,Carnegie Mellon University Pittsburgh USA,37,625,16.89,10,4.07
Jun Zhang,1345,male,Pitney Bowes Shelton CT USA,15,14,0.93,56,3.0
Mark S. Ackerman,1346,male,University of Michigan Ann Arbor USA,31,138,4.45,30,3.58
Lada A. Adamic,1347,female,Facebook,21,94,4.48,26,3.78
Qi Su,1348,,,23,72,3.13,28,4.19
Dmitry Pavlov,1349,male,,20,39,1.95,38,4.69
Jyh-Herng Chow,1350,,,29,18,0.62,50,4.17
Ahmed Metwally,1351,male,Google Inc. Mountain View CA USA,15,23,1.53,70,3.0
Bingjun Sun,1352,,,15,14,0.93,56,4.07
Qingzhao Tan,1353,,,15,13,0.87,85,3.46
Prasenjit Mitra,1354,,,25,217,8.68,8,3.97
Luca de Alfaro,1355,male,University of California Santa Cruz USA,25,124,4.96,56,3.19
Shyamsundar Rajaram,1356,,Hewlett-Packard Labs Palo Alto USA,18,25,1.39,24,3.56
Xiaochuan Ni,1357,,Microsoft AI & Research Sunnyvale CA USA,13,12,0.92,33,4.5
Gui-Rong Xue,1358,,,17,79,4.65,18,4.9
Xiao Ling,1359,,,12,49,4.08,45,4.65
Yi-Min Wang,1360,,,27,93,3.44,39,3.88
Yuan Niu,1361,,,13,13,1.0,54,3.92
Swaminathan Sivasubramanian,1362,,,17,22,1.29,41,3.59
Guillaume Pierre,1363,male,,23,63,2.74,14,3.9
Rajeev Gupta,1364,male,,18,41,2.28,59,3.44
Krithi Ramamritham,1365,,Indian Institute of Technology Bombay India,38,336,8.84,19,3.43
Chunqiang Tang,1366,,,17,58,3.41,26,4.34
Fan Yang,1367,,Cornell University Ithaca NY USA,13,9,0.69,44,5.78
Nitin Gupta,1368,,Google,12,19,1.58,47,6.21
Nicholas Gerner,1369,male,,13,2,0.15,50,6.5
Alan J. Demers,1370,male,,45,98,2.18,24,4.38
Johannes Gehrke,1371,male,Microsoft USA,24,246,10.25,16,4.47
Jayavel Shanmugasundaram,1372,,Yahoo Research,22,69,3.14,16,5.41
Hussein A. Alzoubi,1373,male,,12,6,0.5,83,4.0
Michael Rabinovich,1374,male,AT&T Inc,47,93,1.98,27,3.46
Oliver Spatscheck,1375,male,,24,86,3.58,6,4.77
Gabriel Ghinita,1376,male,,13,84,6.46,32,3.24
Panos Kalnis,1377,male,King Abdullah University of Science & Technology Saudi Arabia,20,112,5.6,14,4.23
Spiros Skiadopoulos,1378,male,,20,68,3.4,16,3.87
Christopher Olston,1379,male,Carnegie Mellon University Pittsburgh USA,21,59,2.81,39,5.42
Jiangong Zhang,1380,,,17,8,0.47,62,4.25
Anirban Dasgupta,1381,,Indian Institute of Technology at Gandhinagar Computer Science Department,17,62,3.65,45,3.92
Arpita Ghosh,1382,female,,18,83,4.61,57,2.82
Sandeep Pandey,1383,male,,30,34,1.13,38,3.97
Luciano Barbosa,1384,male,Federal University of Pernambuco UFPE Brazil,17,42,2.47,67,3.79
Juliana Freire,1385,female,New York University Tandon School of Engineering New York City USA,25,190,7.6,20,4.72
Jure Leskovec,1386,male,Stanford University USA,16,288,18.0,15,3.65
Susan T. Dumais,1387,female,Microsoft Research,33,185,5.61,22,3.74
Eric Horvitz,1388,male,Microsoft Research,34,334,9.82,19,3.37
